Date;Hour;Session;Price - PT [€/MWh];Price - ES [€/MWh]
2017-01-01;23;7;59,92;59,92
2017-01-01;24;7;49,00;49,00
2017-01-02;1;0;54,99;54,99
2017-01-02;2;0;50,18;50,18
2017-01-02;3;0;47,10;47,10
2017-01-02;4;0;45,78;45,78
2017-01-02;5;0;44,99;44,99
2017-01-02;6;0;46,90;46,90
2017-01-02;7;0;50,24;50,24
2017-01-02;8;0;59,07;59,07
2017-01-02;9;0;62,10;64,98
2017-01-02;10;0;65,02;65,02
2017-01-02;11;0;65,69;68,49
2017-01-02;12;0;65,99;65,99
2017-01-02;13;0;65,75;65,75
2017-01-02;14;0;64,98;64,98
2017-01-02;15;0;61,19;61,19
2017-01-02;16;0;59,71;59,71
2017-01-02;17;0;60,96;60,96
2017-01-02;18;0;65,79;69,19
2017-01-02;19;0;66,19;72,15
2017-01-02;20;0;66,69;73,20
2017-01-02;21;0;66,69;70,11
2017-01-02;22;0;64,98;64,98
2017-01-02;23;0;60,10;60,10
2017-01-02;24;0;58,78;58,78
2017-01-02;1;1;55,34;55,34
2017-01-02;2;1;50,00;50,00
2017-01-02;3;1;51,59;51,59
2017-01-02;4;1;50,00;50,00
2017-01-02;5;1;48,99;48,99
2017-01-02;6;1;47,40;47,40
2017-01-02;7;1;46,02;46,02
2017-01-02;8;1;58,97;58,97
2017-01-02;9;1;47,10;69,00
2017-01-02;10;1;60,02;70,69
2017-01-02;11;1;60,69;73,49
2017-01-02;12;1;60,99;70,99
2017-01-02;13;1;70,74;70,74
2017-01-02;14;1;68,23;68,23
2017-01-02;15;1;65,19;65,19
2017-01-02;16;1;63,00;63,00
2017-01-02;17;1;64,94;64,94
2017-01-02;18;1;70,78;75,00
2017-01-02;19;1;71,19;78,00
2017-01-02;20;1;71,69;78,49
2017-01-02;21;1;67,68;74,12
2017-01-02;22;1;67,97;67,97
2017-01-02;23;1;62,51;62,51
2017-01-02;24;1;59,76;59,76
2017-01-02;1;2;55,00;55,00
2017-01-02;2;2;48,18;48,18
2017-01-02;3;2;49,99;49,99
2017-01-02;4;2;49,00;49,00
2017-01-02;5;2;46,03;46,03
2017-01-02;6;2;47,90;47,90
2017-01-02;7;2;48,25;48,25
2017-01-02;8;2;59,07;59,07
2017-01-02;9;2;52,15;67,77
2017-01-02;10;2;69,12;69,12
2017-01-02;11;2;62,69;71,00
2017-01-02;12;2;62,69;69,99
2017-01-02;13;2;69,74;70,00
2017-01-02;14;2;67,97;67,97
2017-01-02;15;2;64,19;64,19
2017-01-02;16;2;61,70;61,70
2017-01-02;17;2;63,75;63,75
2017-01-02;18;2;61,69;71,00
2017-01-02;19;2;62,69;72,95
2017-01-02;20;2;62,69;74,49
2017-01-02;21;2;62,69;71,12
2017-01-02;22;2;66,98;66,98
2017-01-02;23;2;63,09;63,09
2017-01-02;24;2;61,25;61,25
2017-01-02;5;3;45,13;45,13
2017-01-02;6;3;45,90;45,90
2017-01-02;7;3;47,20;47,20
2017-01-02;8;3;60,57;60,57
2017-01-02;9;3;68,00;68,00
2017-01-02;10;3;69,80;69,80
2017-01-02;11;3;71,75;71,75
2017-01-02;12;3;70,20;70,20
2017-01-02;13;3;66,25;70,00
2017-01-02;14;3;66,19;66,19
2017-01-02;15;3;63,50;63,50
2017-01-02;16;3;61,21;61,21
2017-01-02;17;3;61,11;61,11
2017-01-02;18;3;70,10;70,10
2017-01-02;19;3;72,16;72,16
2017-01-02;20;3;74,80;74,80
2017-01-02;21;3;71,75;71,75
2017-01-02;22;3;65,94;65,94
2017-01-02;23;3;61,10;61,10
2017-01-02;24;3;60,00;60,00
2017-01-02;8;4;55,07;55,07
2017-01-02;9;4;47,20;64,98
2017-01-02;10;4;50,41;68,00
2017-01-02;11;4;59,32;70,11
2017-01-02;12;4;67,10;67,10
2017-01-02;13;4;60,75;67,10
2017-01-02;14;4;65,10;65,10
2017-01-02;15;4;62,11;62,11
2017-01-02;16;4;61,00;61,00
2017-01-02;17;4;60,96;60,96
2017-01-02;18;4;69,29;69,29
2017-01-02;19;4;72,15;72,15
2017-01-02;20;4;74,97;74,97
2017-01-02;21;4;61,69;71,75
2017-01-02;22;4;64,98;64,98
2017-01-02;23;4;60,10;60,10
2017-01-02;24;4;58,78;58,78
2017-01-02;12;5;65,00;65,00
2017-01-02;13;5;64,00;64,00
2017-01-02;14;5;63,00;63,00
2017-01-02;15;5;61,20;61,20
2017-01-02;16;5;62,71;62,71
2017-01-02;17;5;62,00;62,00
2017-01-02;18;5;69,00;69,00
2017-01-02;19;5;72,95;72,95
2017-01-02;20;5;74,70;74,70
2017-01-02;21;5;70,11;70,11
2017-01-02;22;5;64,98;64,98
2017-01-02;23;5;60,00;60,00
2017-01-02;24;5;58,78;58,78
2017-01-02;16;6;69,30;69,30
2017-01-02;17;6;70,00;70,00
2017-01-02;18;6;62,10;71,00
2017-01-02;19;6;63,00;72,95
2017-01-02;20;6;63,55;74,97
2017-01-02;21;6;63,00;69,10
2017-01-02;22;6;60,00;60,00
2017-01-02;23;6;57,10;57,10
2017-01-02;24;6;57,50;57,50
2017-01-02;22;7;57,98;57,98
2017-01-02;23;7;54,20;54,20
2017-01-02;24;7;50,58;50,58
2017-01-03;1;0;54,68;54,68
2017-01-03;2;0;52,74;52,74
2017-01-03;3;0;49,25;49,25
2017-01-03;4;0;45,00;45,00
2017-01-03;5;0;45,18;45,18
2017-01-03;6;0;49,25;49,25
2017-01-03;7;0;57,65;57,65
2017-01-03;8;0;70,51;70,51
2017-01-03;9;0;71,61;71,61
2017-01-03;10;0;72,69;72,69
2017-01-03;11;0;73,33;73,33
2017-01-03;12;0;73,31;73,31
2017-01-03;13;0;72,71;72,71
2017-01-03;14;0;71,69;71,69
2017-01-03;15;0;70,51;70,51
2017-01-03;16;0;69,94;69,94
2017-01-03;17;0;71,11;71,11
2017-01-03;18;0;72,76;72,76
2017-01-03;19;0;73,69;73,69
2017-01-03;20;0;74,29;74,29
2017-01-03;21;0;74,90;74,90
2017-01-03;22;0;71,59;71,59
2017-01-03;23;0;68,73;68,73
2017-01-03;24;0;67,42;67,42
2017-01-03;1;1;51,35;51,35
2017-01-03;2;1;50,74;50,74
2017-01-03;3;1;46,38;46,38
2017-01-03;4;1;46,00;46,00
2017-01-03;5;1;46,00;46,00
2017-01-03;6;1;49,25;49,25
2017-01-03;7;1;57,65;57,65
2017-01-03;8;1;71,81;71,81
2017-01-03;9;1;73,61;73,61
2017-01-03;10;1;73,96;73,96
2017-01-03;11;1;74,00;74,00
2017-01-03;12;1;73,31;73,31
2017-01-03;13;1;73,96;73,96
2017-01-03;14;1;73,96;73,96
2017-01-03;15;1;72,66;72,66
2017-01-03;16;1;72,51;72,51
2017-01-03;17;1;72,66;72,66
2017-01-03;18;1;73,76;73,76
2017-01-03;19;1;72,19;72,19
2017-01-03;20;1;72,29;72,29
2017-01-03;21;1;73,37;73,37
2017-01-03;22;1;72,66;72,66
2017-01-03;23;1;72,23;72,23
2017-01-03;24;1;70,42;70,42
2017-01-03;1;2;51,80;51,80
2017-01-03;2;2;46,38;46,38
2017-01-03;3;2;46,00;46,00
2017-01-03;4;2;45,50;45,50
2017-01-03;5;2;46,37;46,37
2017-01-03;6;2;49,25;49,25
2017-01-03;7;2;60,70;60,70
2017-01-03;8;2;73,96;73,96
2017-01-03;9;2;75,19;75,19
2017-01-03;10;2;75,44;75,44
2017-01-03;11;2;75,58;75,58
2017-01-03;12;2;75,31;75,31
2017-01-03;13;2;75,02;75,02
2017-01-03;14;2;74,70;74,70
2017-01-03;15;2;73,51;73,51
2017-01-03;16;2;72,66;72,66
2017-01-03;17;2;73,96;73,96
2017-01-03;18;2;75,02;75,02
2017-01-03;19;2;73,69;73,69
2017-01-03;20;2;74,29;74,29
2017-01-03;21;2;74,90;74,90
2017-01-03;22;2;74,34;74,34
2017-01-03;23;2;72,66;72,66
2017-01-03;24;2;71,31;71,31
2017-01-03;5;3;46,83;46,83
2017-01-03;6;3;47,00;47,00
2017-01-03;7;3;60,50;60,50
2017-01-03;8;3;72,51;72,51
2017-01-03;9;3;73,61;73,61
2017-01-03;10;3;75,69;75,69
2017-01-03;11;3;75,69;75,69
2017-01-03;12;3;75,19;75,19
2017-01-03;13;3;75,69;75,69
2017-01-03;14;3;74,69;74,69
2017-01-03;15;3;73,69;73,69
2017-01-03;16;3;72,94;72,94
2017-01-03;17;3;73,69;73,69
2017-01-03;18;3;75,19;75,19
2017-01-03;19;3;74,69;74,69
2017-01-03;20;3;74,29;74,29
2017-01-03;21;3;74,90;74,90
2017-01-03;22;3;74,60;74,60
2017-01-03;23;3;72,73;72,73
2017-01-03;24;3;71,42;71,42
2017-01-03;8;4;71,55;71,55
2017-01-03;9;4;73,28;73,28
2017-01-03;10;4;73,00;73,00
2017-01-03;11;4;75,50;75,50
2017-01-03;12;4;73,81;73,81
2017-01-03;13;4;74,40;74,40
2017-01-03;14;4;75,19;75,19
2017-01-03;15;4;72,99;72,99
2017-01-03;16;4;72,99;72,99
2017-01-03;17;4;73,00;73,00
2017-01-03;18;4;75,19;75,19
2017-01-03;19;4;74,82;74,82
2017-01-03;20;4;74,29;74,29
2017-01-03;21;4;74,90;74,90
2017-01-03;22;4;74,00;74,00
2017-01-03;23;4;72,73;72,73
2017-01-03;24;4;71,00;71,00
2017-01-03;12;5;70,30;70,30
2017-01-03;13;5;72,71;72,71
2017-01-03;14;5;73,19;73,19
2017-01-03;15;5;72,76;72,76
2017-01-03;16;5;71,44;71,44
2017-01-03;17;5;72,61;72,61
2017-01-03;18;5;75,01;75,01
2017-01-03;19;5;75,69;75,69
2017-01-03;20;5;75,19;75,19
2017-01-03;21;5;75,00;75,00
2017-01-03;22;5;73,09;73,09
2017-01-03;23;5;71,59;71,59
2017-01-03;24;5;70,52;70,52
2017-01-03;16;6;75,00;75,00
2017-01-03;17;6;74,11;74,11
2017-01-03;18;6;75,76;75,76
2017-01-03;19;6;76,69;76,69
2017-01-03;20;6;77,29;77,29
2017-01-03;21;6;74,00;74,00
2017-01-03;22;6;74,59;74,59
2017-01-03;23;6;74,50;74,50
2017-01-03;24;6;73,52;73,52
2017-01-03;22;7;71,59;71,59
2017-01-03;23;7;68,73;68,73
2017-01-03;24;7;67,42;67,42
2017-01-04;1;0;62,69;62,69
2017-01-04;2;0;56,04;56,04
2017-01-04;3;0;54,10;54,10
2017-01-04;4;0;53,60;52,00
2017-01-04;5;0;53,60;51,36
2017-01-04;6;0;53,60;53,02
2017-01-04;7;0;62,40;62,40
2017-01-04;8;0;72,32;72,32
2017-01-04;9;0;73,01;73,01
2017-01-04;10;0;73,00;73,00
2017-01-04;11;0;72,85;72,85
2017-01-04;12;0;72,51;72,51
2017-01-04;13;0;71,72;71,72
2017-01-04;14;0;71,59;71,59
2017-01-04;15;0;69,00;69,00
2017-01-04;16;0;67,13;67,13
2017-01-04;17;0;68,26;68,26
2017-01-04;18;0;72,15;72,15
2017-01-04;19;0;73,33;73,33
2017-01-04;20;0;73,69;73,69
2017-01-04;21;0;72,48;72,48
2017-01-04;22;0;69,34;69,34
2017-01-04;23;0;64,98;64,98
2017-01-04;24;0;61,95;61,95
2017-01-04;1;1;63,00;63,00
2017-01-04;2;1;54,12;54,12
2017-01-04;3;1;53,95;51,00
2017-01-04;4;1;55,35;48,97
2017-01-04;5;1;55,35;47,00
2017-01-04;6;1;55,35;48,97
2017-01-04;7;1;62,90;62,90
2017-01-04;8;1;75,00;75,00
2017-01-04;9;1;75,96;75,96
2017-01-04;10;1;75,02;75,02
2017-01-04;11;1;75,20;75,20
2017-01-04;12;1;74,86;74,86
2017-01-04;13;1;75,70;75,70
2017-01-04;14;1;75,59;75,59
2017-01-04;15;1;73,00;73,00
2017-01-04;16;1;69,63;69,63
2017-01-04;17;1;70,76;70,76
2017-01-04;18;1;77,03;77,03
2017-01-04;19;1;79,00;79,00
2017-01-04;20;1;79,16;79,16
2017-01-04;21;1;76,50;76,50
2017-01-04;22;1;75,69;75,69
2017-01-04;23;1;68,98;68,98
2017-01-04;24;1;61,95;61,95
2017-01-04;1;2;65,69;65,69
2017-01-04;2;2;56,29;56,29
2017-01-04;3;2;59,35;51,00
2017-01-04;4;2;59,35;48,97
2017-01-04;5;2;58,60;47,20
2017-01-04;6;2;58,60;49,87
2017-01-04;7;2;62,40;62,40
2017-01-04;8;2;72,32;72,32
2017-01-04;9;2;75,50;75,50
2017-01-04;10;2;74,50;74,50
2017-01-04;11;2;74,45;74,45
2017-01-04;12;2;74,00;74,00
2017-01-04;13;2;73,31;73,31
2017-01-04;14;2;73,31;73,31
2017-01-04;15;2;71,77;71,77
2017-01-04;16;2;69,63;69,63
2017-01-04;17;2;70,26;70,26
2017-01-04;18;2;73,75;73,75
2017-01-04;19;2;74,83;74,83
2017-01-04;20;2;75,29;75,29
2017-01-04;21;2;73,98;73,98
2017-01-04;22;2;74,34;74,34
2017-01-04;23;2;68,48;68,48
2017-01-04;24;2;62,67;62,67
2017-01-04;5;3;64,25;46,52
2017-01-04;6;3;64,25;49,11
2017-01-04;7;3;63,41;63,41
2017-01-04;8;3;72,32;72,32
2017-01-04;9;3;75,00;75,00
2017-01-04;10;3;75,19;75,19
2017-01-04;11;3;77,03;77,03
2017-01-04;12;3;76,61;76,61
2017-01-04;13;3;75,00;75,00
2017-01-04;14;3;75,00;75,00
2017-01-04;15;3;71,00;71,00
2017-01-04;16;3;68,13;68,13
2017-01-04;17;3;69,26;69,26
2017-01-04;18;3;75,25;75,25
2017-01-04;19;3;74,93;74,93
2017-01-04;20;3;75,29;75,29
2017-01-04;21;3;74,08;74,08
2017-01-04;22;3;70,35;70,35
2017-01-04;23;3;65,03;65,03
2017-01-04;24;3;62,00;62,00
2017-01-04;8;4;76,56;76,56
2017-01-04;9;4;77,83;77,83
2017-01-04;10;4;77,50;77,50
2017-01-04;11;4;78,73;78,73
2017-01-04;12;4;76,48;76,48
2017-01-04;13;4;73,41;73,41
2017-01-04;14;4;75,69;75,69
2017-01-04;15;4;73,00;73,00
2017-01-04;16;4;70,00;70,00
2017-01-04;17;4;69,26;69,26
2017-01-04;18;4;76,00;76,00
2017-01-04;19;4;76,33;76,33
2017-01-04;20;4;76,79;76,79
2017-01-04;21;4;74,08;74,08
2017-01-04;22;4;73,34;73,34
2017-01-04;23;4;64,98;64,98
2017-01-04;24;4;61,95;61,95
2017-01-04;12;5;78,00;78,00
2017-01-04;13;5;77,00;77,00
2017-01-04;14;5;75,00;75,00
2017-01-04;15;5;71,10;71,10
2017-01-04;16;5;67,13;67,13
2017-01-04;17;5;70,41;70,41
2017-01-04;18;5;75,65;75,65
2017-01-04;19;5;77,51;77,51
2017-01-04;20;5;78,79;78,79
2017-01-04;21;5;72,48;72,48
2017-01-04;22;5;69,56;69,56
2017-01-04;23;5;66,00;66,00
2017-01-04;24;5;61,95;61,95
2017-01-04;16;6;65,90;65,90
2017-01-04;17;6;66,90;66,90
2017-01-04;18;6;74,00;74,00
2017-01-04;19;6;77,33;77,33
2017-01-04;20;6;76,20;78,13
2017-01-04;21;6;76,00;76,00
2017-01-04;22;6;70,83;70,83
2017-01-04;23;6;65,95;65,95
2017-01-04;24;6;61,50;61,50
2017-01-04;22;7;71,88;71,88
2017-01-04;23;7;64,98;64,98
2017-01-04;24;7;54,08;54,08
2017-01-05;1;0;63,10;51,22
2017-01-05;2;0;63,10;48,41
2017-01-05;3;0;54,08;50,00
2017-01-05;4;0;53,98;47,46
2017-01-05;5;0;53,78;42,34
2017-01-05;6;0;53,78;45,18
2017-01-05;7;0;54,09;54,09
2017-01-05;8;0;66,21;66,21
2017-01-05;9;0;69,70;69,70
2017-01-05;10;0;72,60;72,60
2017-01-05;11;0;73,03;73,03
2017-01-05;12;0;72,60;72,60
2017-01-05;13;0;72,54;72,54
2017-01-05;14;0;71,51;71,51
2017-01-05;15;0;71,10;71,10
2017-01-05;16;0;70,51;70,51
2017-01-05;17;0;69,70;69,70
2017-01-05;18;0;73,87;73,87
2017-01-05;19;0;75,15;75,15
2017-01-05;20;0;76,10;76,10
2017-01-05;21;0;73,69;73,69
2017-01-05;22;0;71,68;71,68
2017-01-05;23;0;66,76;66,76
2017-01-05;24;0;69,20;69,20
2017-01-05;1;1;71,35;51,62
2017-01-05;2;1;71,35;50,41
2017-01-05;3;1;71,35;51,00
2017-01-05;4;1;59,75;50,46
2017-01-05;5;1;59,75;44,88
2017-01-05;6;1;58,78;47,68
2017-01-05;7;1;56,84;56,84
2017-01-05;8;1;67,00;67,00
2017-01-05;9;1;72,70;72,70
2017-01-05;10;1;76,60;76,60
2017-01-05;11;1;76,03;76,03
2017-01-05;12;1;75,60;75,60
2017-01-05;13;1;75,54;75,54
2017-01-05;14;1;74,51;74,51
2017-01-05;15;1;74,10;74,10
2017-01-05;16;1;73,50;73,50
2017-01-05;17;1;71,03;71,03
2017-01-05;18;1;75,37;75,37
2017-01-05;19;1;77,65;77,65
2017-01-05;20;1;79,10;79,10
2017-01-05;21;1;75,58;75,58
2017-01-05;22;1;73,68;73,68
2017-01-05;23;1;69,26;69,26
2017-01-05;24;1;72,20;72,20
2017-01-05;1;2;70,55;49,22
2017-01-05;2;2;70,55;48,10
2017-01-05;3;2;62,65;48,33
2017-01-05;4;2;54,75;50,00
2017-01-05;5;2;54,60;43,10
2017-01-05;6;2;58,78;46,00
2017-01-05;7;2;54,60;54,60
2017-01-05;8;2;67,00;67,00
2017-01-05;9;2;73,70;73,70
2017-01-05;10;2;77,60;77,60
2017-01-05;11;2;76,00;76,00
2017-01-05;12;2;76,60;76,60
2017-01-05;13;2;77,00;77,00
2017-01-05;14;2;73,52;73,52
2017-01-05;15;2;73,20;73,20
2017-01-05;16;2;72,52;72,52
2017-01-05;17;2;70,21;70,21
2017-01-05;18;2;73,53;73,53
2017-01-05;19;2;75,15;75,15
2017-01-05;20;2;76,10;76,10
2017-01-05;21;2;73,53;73,53
2017-01-05;22;2;71,68;71,68
2017-01-05;23;2;66,71;66,71
2017-01-05;24;2;69,20;69,20
2017-01-05;5;3;75,00;43,11
2017-01-05;6;3;53,78;47,00
2017-01-05;7;3;57,09;57,09
2017-01-05;8;3;66,00;66,00
2017-01-05;9;3;71,40;71,40
2017-01-05;10;3;75,00;75,00
2017-01-05;11;3;75,62;75,62
2017-01-05;12;3;75,62;75,62
2017-01-05;13;3;74,55;74,55
2017-01-05;14;3;72,51;72,51
2017-01-05;15;3;73,00;73,00
2017-01-05;16;3;71,61;71,61
2017-01-05;17;3;70,00;70,00
2017-01-05;18;3;73,87;73,87
2017-01-05;19;3;75,15;75,15
2017-01-05;20;3;76,10;76,10
2017-01-05;21;3;73,69;73,69
2017-01-05;22;3;70,00;70,00
2017-01-05;23;3;65,00;65,00
2017-01-05;24;3;69,20;69,20
2017-01-05;8;4;63,33;63,33
2017-01-05;9;4;71,30;71,30
2017-01-05;10;4;75,60;75,60
2017-01-05;11;4;76,00;76,00
2017-01-05;12;4;75,00;75,00
2017-01-05;13;4;75,00;75,00
2017-01-05;14;4;72,41;72,41
2017-01-05;15;4;72,00;72,00
2017-01-05;16;4;71,00;71,00
2017-01-05;17;4;70,00;70,00
2017-01-05;18;4;71,89;71,89
2017-01-05;19;4;75,15;75,15
2017-01-05;20;4;76,10;76,10
2017-01-05;21;4;73,25;73,25
2017-01-05;22;4;71,00;71,00
2017-01-05;23;4;64,76;64,76
2017-01-05;24;4;69,70;69,70
2017-01-05;12;5;72,60;72,60
2017-01-05;13;5;72,55;72,55
2017-01-05;14;5;72,01;72,01
2017-01-05;15;5;71,11;71,11
2017-01-05;16;5;71,00;71,00
2017-01-05;17;5;70,19;70,19
2017-01-05;18;5;73,94;73,94
2017-01-05;19;5;76,77;76,77
2017-01-05;20;5;76,77;76,77
2017-01-05;21;5;73,76;73,76
2017-01-05;22;5;71,77;71,77
2017-01-05;23;5;69,77;69,77
2017-01-05;24;5;71,77;71,77
2017-01-05;16;6;69,00;69,00
2017-01-05;17;6;70,05;70,05
2017-01-05;18;6;74,52;74,52
2017-01-05;19;6;77,15;77,15
2017-01-05;20;6;78,10;78,10
2017-01-05;21;6;75,67;75,67
2017-01-05;22;6;71,88;71,88
2017-01-05;23;6;65,61;65,61
2017-01-05;24;6;67,80;67,80
2017-01-05;22;7;69,10;69,10
2017-01-05;23;7;58,00;58,00
2017-01-05;24;7;61,00;61,00
2017-01-06;1;0;59,58;59,58
2017-01-06;2;0;53,98;53,98
2017-01-06;3;0;52,11;52,11
2017-01-06;4;0;48,14;48,14
2017-01-06;5;0;46,74;46,74
2017-01-06;6;0;48,41;48,41
2017-01-06;7;0;53,29;53,29
2017-01-06;8;0;60,15;60,15
2017-01-06;9;0;63,20;63,20
2017-01-06;10;0;66,21;66,21
2017-01-06;11;0;70,55;70,55
2017-01-06;12;0;71,00;71,00
2017-01-06;13;0;71,51;71,51
2017-01-06;14;0;70,99;70,99
2017-01-06;15;0;68,53;68,53
2017-01-06;16;0;65,62;65,62
2017-01-06;17;0;66,21;66,21
2017-01-06;18;0;70,55;70,55
2017-01-06;19;0;73,87;73,87
2017-01-06;20;0;74,69;74,69
2017-01-06;21;0;75,10;75,10
2017-01-06;22;0;75,10;75,10
2017-01-06;23;0;73,87;73,87
2017-01-06;24;0;71,69;71,69
2017-01-06;1;1;53,89;53,89
2017-01-06;2;1;53,39;53,39
2017-01-06;3;1;53,11;51,00
2017-01-06;4;1;49,16;49,16
2017-01-06;5;1;47,74;47,64
2017-01-06;6;1;49,41;49,41
2017-01-06;7;1;53,29;53,29
2017-01-06;8;1;55,15;55,15
2017-01-06;9;1;65,20;65,20
2017-01-06;10;1;71,21;71,21
2017-01-06;11;1;74,82;74,82
2017-01-06;12;1;74,82;74,82
2017-01-06;13;1;75,00;75,00
2017-01-06;14;1;73,99;73,99
2017-01-06;15;1;68,53;68,53
2017-01-06;16;1;67,00;67,00
2017-01-06;17;1;69,20;69,20
2017-01-06;18;1;74,55;74,55
2017-01-06;19;1;76,10;76,10
2017-01-06;20;1;77,01;77,01
2017-01-06;21;1;78,05;78,05
2017-01-06;22;1;78,05;78,05
2017-01-06;23;1;76,82;76,82
2017-01-06;24;1;75,00;75,00
2017-01-06;1;2;53,25;53,25
2017-01-06;2;2;52,88;51,00
2017-01-06;3;2;51,46;48,10
2017-01-06;4;2;48,14;48,14
2017-01-06;5;2;46,74;46,74
2017-01-06;6;2;48,41;48,41
2017-01-06;7;2;53,54;53,54
2017-01-06;8;2;56,54;56,54
2017-01-06;9;2;59,00;59,00
2017-01-06;10;2;71,20;71,20
2017-01-06;11;2;73,37;73,37
2017-01-06;12;2;72,42;72,42
2017-01-06;13;2;75,32;75,32
2017-01-06;14;2;72,88;72,88
2017-01-06;15;2;68,53;68,53
